dw 65291, 15465, 51973, 45273, 39130, 36246, 7404, 19729, 61320, 13088, 24122, 34666, 35056, 62506, 61705, 17101
dw 42490, 11952, 13995, 63922, 40101, 40056, 6082, 27671, 1485, 21062, 63989, 15471, 8500, 25985, 49566, 36698
dw 48818, 25137, 25252, 19397, 6850, 37121, 46031, 20556, 10222, 3827, 61665, 64904, 64696, 40804, 59597, 46969
dw 47114, 22108, 26393, 63588, 62460, 27905, 9824, 46816, 39143, 22388, 12395, 38305, 52126, 46090, 8660, 54839
dw 11156, 56962, 10401, 50873, 39791, 17948, 14055, 13382, 594, 43658, 34512, 5573, 27410, 51892, 31617, 23704
dw 14125, 28439, 51610, 12679, 57073, 33907, 56486, 29797, 1566, 41907, 8248, 43163, 35837, 11960, 24934, 21741
dw 37468, 23911, 21455, 7744, 63856, 16668, 28491, 26008, 24336, 56379, 3225, 30138, 39894, 3906, 32595, 6810
dw 7259, 60951, 1429, 19399, 28701, 10957, 35020, 38215, 54833, 29288, 46203, 29690, 57625, 13954, 13036, 54264
dw 36375, 43410, 34269, 31502, 26104, 51016, 18723, 54959, 11270, 24066, 20118, 15886, 46742, 61134, 11277, 31356
dw 63320, 65503, 8183, 52441, 25921, 42833, 46657, 7447, 64409, 37567, 1089, 61740, 25299, 1959, 9422, 5786
dw 64146, 5392, 64924, 21034, 43443, 3377, 13415, 52461, 119, 56110, 28534, 27437, 2167, 12687, 38909, 31236
dw 35580, 61330, 466, 37861, 40953, 62368, 26946, 32619, 7851, 9780, 20706, 34452, 59099, 40659, 4634, 45424
dw 46113, 55275, 44258, 59161, 22076, 31587, 1401, 39323, 48087, 64929, 23124, 51410, 35150, 52142, 52964, 54879
dw 11549, 26369, 9009, 28588, 53367, 5893, 21146, 43747, 30818, 63520, 22735, 41549, 10427, 50626, 5470, 52269
dw 6156, 52489, 38699, 19651, 22719, 33960, 26876, 8274, 11061, 12575, 55932, 20053, 13402, 26324, 55454, 16905
dw 47355, 22912, 8184, 63529, 59, 4005, 4086, 3521, 14897, 3515, 56805, 2636, 40961, 48993, 60981, 1762
